pmid,date,citations,len_text,len_title,days_live,fulltext
22627698,2012-07-01,35,1780,165,3233,extracting biological information computational analysis fouriertransform infrared (ftir) biospectroscopy datasets: current practices future perspectives applying fouriertransform infrared (ftir) spectroscopy (or related technologies raman spectroscopy) biological questions (defined biospectroscopy) relatively novel potential fields application include cytological histological microbial studies potentially provides rapid nondestructive approach clinical diagnosis increase application primarily consequence developing instrumentation along computational techniques coming decades biospectroscopy likely become common tool screening diagnostic laboratory even general practitioners clinic despite many advances biological application ftir spectroscopy remain challenges sample preparation instrumentation data handling focus latter identify reviewed literature existence four main study goals: pattern finding; biomarker identification; imaging; diagnosis grouped two frameworks: exploratory; diagnostic existing techniques quality control preprocessing feature extraction clustering classification critically reviewed aspect often visited method choice based stateofart claim near future research focused challenges dataset standardization; building information systems; development validation data analysis tools; technology transfer diagnostic case study using realworld dataset presented illustration many methods presented review machine learning statistical techniques extendable forms computerbased biomedical analysis including mass spectrometry magnetic resonance
22952238,2012-09-01,4,793,81,3171,uncovering transcription factor modules using one threedimensional analyses transcriptional regulation critical mediator many normal cellular processes well disease progression transcription factors (tfs) often colocalize cisregulatory elements dna form protein complexes collaboratively regulate gene expression machine learning bayesian approaches used identify tf modules onedimensional context however recent studies using high throughput technologies shown tf interactions also considered threedimensional nuclear space describe methods identifying tf modules discuss moving onedimensional threedimensional paradigm along integrated experimental computational approaches lead better understanding tf association networks
22944687,2012-09-01,19,1698,64,3171,understanding substrate specificity conventional calpains calpains intracellular ca(2+)dependent cys proteases play important roles wide range biological phenomena via limited proteolysis substrates genetic defects calpain genes cause lethality and/or functional deficits many organisms including humans despite biological importance mechanisms underlying action calpains particularly substrate specificities remain largely unknown studies show certain sequence preferences influence calpain substrate recognition properties amino acids related successfully substrate specificity calpains 3d structure full spectrum substrate specificity however clarified using standard sequence analysis algorithms eg positionspecific scoringmatrix method advanced bioinformatics techniques used recently identify substrate specificities calpains develop predictor calpain cleavage sites demonstrating potential combining empirical data acquisition machine learning review discusses calpains substrate specificities introducing benefits bioinformatics applications conclusion machine learning led development useful predictors calpain cleavage sites although accuracy predictions still needs improvement machine learning also elucidated information properties calpains substrate specificities including preference sequences secondary structures existence substrate specificity difference two similar conventional calpains never indicated biochemically
22075226,2012-09-01,12,1024,42,3171,membrane protein structural bioinformatics despite increasing number recently solved membrane protein structures coverage membrane protein fold space remains relatively sparse necessitates use computational strategies investigate membrane protein structure allowing us understanding membrane proteins carry diverse range functions aiding development novel predictive tools probe uncharacterised folds analysis known structures application machine learning techniques molecular dynamics simulations protein structure prediction enabled significant advances made field membrane protein research communication key bioinformatic methods allow characterisation membrane proteins reviewed tools available structural analysis membrane proteins presented contribution tools made expanding understanding membrane protein structure function stability discussed
23012584,2012-09-01,10,935,60,3171,future medical diagnostics: large digitized databases electronic health record mandate within american recovery reinvestment act 2009 farreaching affect medicine article provide indepth analysis mandate expected stimulate production largescale digitized databases patient information evidence suggest millions patients national institutes health fully support mining databases better understand process diagnosing patients data mining likely reaffirm quantify known risk factors many diagnoses quantification may leveraged develop computeraided diagnostic tools weigh risk factors provide decision support health care providers expect creation databases stimulate development computeraided diagnostic support tools become integral part modern medicine
22528508,2012-09-01,20,1717,47,3171,paradigm shift toxicity testing modeling limitations traditional toxicity testing characterized highcost animal models lowthroughput readouts inconsistent responses ethical issues extrapolability humans call alternative strategies chemical risk assessment new strategy using vitro human cellbased assays designed identify key toxicity pathways molecular mechanisms leading prediction vivo response emergence quantitative highthroughput screening (qhts) technology proved efficient way decompose complex toxicological end points specific pathways targeted organs addition qhts made significant impact computational toxicology two aspects first ease mechanism action identification brought vitro assays enhanced simplicity effectiveness machine learning second highthroughput nature high reproducibility qhts greatly improved data quality increased quantity training datasets available predictive model construction review benefits qhts routinely used us tox21 program highlighted quantitative structureactivity relationships models built traditional vivo data new qhts data compared analyzed conjunction transition pilot phase production phase tox21 program qhts data made available enrich data pool predictive toxicology perceivable new silico toxicity models based highquality qhts data achieve unprecedented reliability robustness thus becoming valuable tool risk assessment drug discovery
22366294,2012-10-01,51,1643,88,3141,evaluating state art coreference resolution electronic medical records background: fifth i2b2/va workshop natural language processing challenges clinical records conducted systematic review resolution noun phrase coreference medical records informatics integrating biology bedside (i2b2) veterans affair (va) consortium healthcare informatics research (chir) partnered organize coreference challenge provided research community two corpora medical records development evaluation coreference resolution systems corpora contained various record types (ie discharge summaries pathology reports) multiple institutions methods: coreference challenge provided community two annotated ground truth corpora evaluated systems coreference resolution two ways: first evaluated systems ability identify mentions concepts link together mentions second evaluated ability systems link together ground truth mentions refer entity twenty teams representing 29 organizations nine countries participated coreference challenge results: teams system submissions showed machinelearning rulebased approaches worked best augmented external knowledge sources coreference clues extracted document structure systems performed better coreference resolution provided ground truth mentions overall systems struggled solving coreference resolution cases required domain knowledge
22752090,2012-10-01,31,741,66,3141,risk estimation risk prediction using machinelearning methods association genetic variants phenotype established study goals comprise classification patients according disease risk estimation disease probability accomplish different statistical methods required specifically machinelearning approaches may offer advantages classical techniques paper describe methods construction evaluation classification probability estimation rules review use machinelearning approaches context explain machinelearning algorithms detail finally illustrate methodology application genomewide association analysis rheumatoid arthritis
22776068,2012-11-01,8,1716,62,3110,predicting risk psychosis onset: advances prospects aim: conduct systematic review methods performance characteristics models developed predicting onset psychosis methods: performed comprehensive literature search restricted english articles identified using pubmed medline psychinfo well reference lists published studies reviews inclusion criteria included selection one variable predict psychosis schizophrenia onset selection individuals familial risk clinical high risk eighteen studies met criteria compared studies based subjects selected predictor variables used choice statistical machine learning methods results: quality life life functioning well structural brain imaging emerged promising predictors psychosis onset particularly coupled appropriate dimensionality reduction methods predictive model algorithms like support vector machine (svm) balanced accuracy ranged 100% 78% four studies using svm 67% 81% 14 studies using general linear models conclusions: performance predictive models improves quality life measures life functioning measures structural brain imaging data well use methods like svm despite advances overall performance psychosis predictive models still modest future performance potentially improved including genetic variant new functional imaging data addition predictors used currently
22842200,2012-12-01,42,2055,46,3080,osteoarthritis year 2012 review: biomarkers purpose: biomarkers provide useful diagnostic information detecting cartilage degradation osteoarthritis (oa) reflecting diseaserelevant biological activity predicting course disease progression also serve surrogate endpoints drug discovery process aim narrative review focus oa biomarkerrelated papers published osteoarthritis research society international (oarsi) 2011 meeting san diego oarsi 2012 meeting barcelona methods: pubmed/medline sciverse scopus bibliographic databases searched using keywords: biomarker osteoarthritis and/or biomarker proteomics results: ninetyeight papers found keywords biomarker osteoarthritis fifteen papers found keywords biomarker proteomics review articles also included relevant published studies focused extracellular matrix (ecm) molecules body fluids enrichment deamidated epitope cartilage oligomeric matrix protein (dcomp) suggests oa disease progression associated posttranslational modifications may show specificity particular joint sites fibulin3 peptides (fib31 fib32) proposed potential biomarkers oa along follistatinlike protein 1 (fstl1) new serum biomarker capacity reflect severity joint damage membrane attack complex (mac) component complement also implicated oa conclusion: novel oa biomarkers needed subclinical disease diagnosis proteomic techniques beginning yield useful data deliver new oa biomarkers serum urine combining biochemical markers tissue cell imaging techniques bioinformatics (ie machine learning clustering data visualization) may facilitate development biomarker combinations enabling earlier detection oa
