pmid,date,citations,len_text,len_title,days_live,fulltext
22627698,2012-07-01,35,1780,165,3233,"['extract', 'biolog', 'inform', 'comput', 'analysi', 'fouriertransform', 'infrar', '(ftir)', 'biospectroscopi', 'datasets:', 'current', 'practic', 'futur', 'perspect', 'appli', 'fouriertransform', 'infrar', '(ftir)', 'spectroscopi', '(or', 'relat', 'technolog', 'raman', 'spectroscopy)', 'biolog', 'question', '(defin', 'biospectroscopy)', 'rel', 'novel', 'potenti', 'field', 'applic', 'includ', 'cytolog', 'histolog', 'microbi', 'studi', 'potenti', 'provid', 'rapid', 'nondestruct', 'approach', 'clinic', 'diagnosi', 'increas', 'applic', 'primarili', 'consequ', 'develop', 'instrument', 'along', 'comput', 'techniqu', 'come', 'decad', 'biospectroscopi', 'like', 'becom', 'common', 'tool', 'screen', 'diagnost', 'laboratori', 'even', 'gener', 'practition', 'clinic', 'despit', 'mani', 'advanc', 'biolog', 'applic', 'ftir', 'spectroscopi', 'remain', 'challeng', 'sampl', 'prepar', 'instrument', 'data', 'handl', 'focu', 'latter', 'identifi', 'review', 'literatur', 'exist', 'four', 'main', 'studi', 'goals:', 'pattern', 'finding;', 'biomark', 'identification;', 'imaging;', 'diagnosi', 'group', 'two', 'frameworks:', 'exploratory;', 'diagnost', 'exist', 'techniqu', 'qualiti', 'control', 'preprocess', 'featur', 'extract', 'cluster', 'classif', 'critic', 'review', 'aspect', 'often', 'visit', 'method', 'choic', 'base', 'stateofart', 'claim', 'near', 'futur', 'research', 'focus', 'challeng', 'dataset', 'standardization;', 'build', 'inform', 'systems;', 'develop', 'valid', 'data', 'analysi', 'tools;', 'technolog', 'transfer', 'diagnost', 'case', 'studi', 'use', 'realworld', 'dataset', 'present', 'illustr', 'mani', 'method', 'present', 'review', 'machin', 'learn', 'statist', 'techniqu', 'extend', 'form', 'computerbas', 'biomed', 'analysi', 'includ', 'mass', 'spectrometri', 'magnet', 'reson']"
22952238,2012-09-01,4,793,81,3171,"['uncov', 'transcript', 'factor', 'modul', 'use', 'one', 'threedimension', 'analys', 'transcript', 'regul', 'critic', 'mediat', 'mani', 'normal', 'cellular', 'process', 'well', 'diseas', 'progress', 'transcript', 'factor', '(tfs)', 'often', 'coloc', 'cisregulatori', 'element', 'dna', 'form', 'protein', 'complex', 'collabor', 'regul', 'gene', 'express', 'machin', 'learn', 'bayesian', 'approach', 'use', 'identifi', 'tf', 'modul', 'onedimension', 'context', 'howev', 'recent', 'studi', 'use', 'high', 'throughput', 'technolog', 'shown', 'tf', 'interact', 'also', 'consid', 'threedimension', 'nuclear', 'space', 'describ', 'method', 'identifi', 'tf', 'modul', 'discuss', 'move', 'onedimension', 'threedimension', 'paradigm', 'along', 'integr', 'experiment', 'comput', 'approach', 'lead', 'better', 'understand', 'tf', 'associ', 'network']"
22944687,2012-09-01,19,1698,64,3171,"['understand', 'substrat', 'specif', 'convent', 'calpain', 'calpain', 'intracellular', 'ca(2+)depend', 'cy', 'proteas', 'play', 'import', 'role', 'wide', 'rang', 'biolog', 'phenomena', 'via', 'limit', 'proteolysi', 'substrat', 'genet', 'defect', 'calpain', 'gene', 'caus', 'lethal', 'and/or', 'function', 'deficit', 'mani', 'organ', 'includ', 'human', 'despit', 'biolog', 'import', 'mechan', 'underli', 'action', 'calpain', 'particularli', 'substrat', 'specif', 'remain', 'larg', 'unknown', 'studi', 'show', 'certain', 'sequenc', 'prefer', 'influenc', 'calpain', 'substrat', 'recognit', 'properti', 'amino', 'acid', 'relat', 'success', 'substrat', 'specif', 'calpain', '3d', 'structur', 'full', 'spectrum', 'substrat', 'specif', 'howev', 'clarifi', 'use', 'standard', 'sequenc', 'analysi', 'algorithm', 'eg', 'positionspecif', 'scoringmatrix', 'method', 'advanc', 'bioinformat', 'techniqu', 'use', 'recent', 'identifi', 'substrat', 'specif', 'calpain', 'develop', 'predictor', 'calpain', 'cleavag', 'site', 'demonstr', 'potenti', 'combin', 'empir', 'data', 'acquisit', 'machin', 'learn', 'review', 'discuss', 'calpain', 'substrat', 'specif', 'introduc', 'benefit', 'bioinformat', 'applic', 'conclus', 'machin', 'learn', 'led', 'develop', 'use', 'predictor', 'calpain', 'cleavag', 'site', 'although', 'accuraci', 'predict', 'still', 'need', 'improv', 'machin', 'learn', 'also', 'elucid', 'inform', 'properti', 'calpain', 'substrat', 'specif', 'includ', 'prefer', 'sequenc', 'secondari', 'structur', 'exist', 'substrat', 'specif', 'differ', 'two', 'similar', 'convent', 'calpain', 'never', 'indic', 'biochem']"
22075226,2012-09-01,12,1024,42,3171,"['membran', 'protein', 'structur', 'bioinformat', 'despit', 'increas', 'number', 'recent', 'solv', 'membran', 'protein', 'structur', 'coverag', 'membran', 'protein', 'fold', 'space', 'remain', 'rel', 'spars', 'necessit', 'use', 'comput', 'strategi', 'investig', 'membran', 'protein', 'structur', 'allow', 'us', 'understand', 'membran', 'protein', 'carri', 'divers', 'rang', 'function', 'aid', 'develop', 'novel', 'predict', 'tool', 'probe', 'uncharacteris', 'fold', 'analysi', 'known', 'structur', 'applic', 'machin', 'learn', 'techniqu', 'molecular', 'dynam', 'simul', 'protein', 'structur', 'predict', 'enabl', 'signific', 'advanc', 'made', 'field', 'membran', 'protein', 'research', 'commun', 'key', 'bioinformat', 'method', 'allow', 'characteris', 'membran', 'protein', 'review', 'tool', 'avail', 'structur', 'analysi', 'membran', 'protein', 'present', 'contribut', 'tool', 'made', 'expand', 'understand', 'membran', 'protein', 'structur', 'function', 'stabil', 'discuss']"
23012584,2012-09-01,10,935,60,3171,"['futur', 'medic', 'diagnostics:', 'larg', 'digit', 'databas', 'electron', 'health', 'record', 'mandat', 'within', 'american', 'recoveri', 'reinvest', 'act', '2009', 'farreach', 'affect', 'medicin', 'articl', 'provid', 'indepth', 'analysi', 'mandat', 'expect', 'stimul', 'product', 'largescal', 'digit', 'databas', 'patient', 'inform', 'evid', 'suggest', 'million', 'patient', 'nation', 'institut', 'health', 'fulli', 'support', 'mine', 'databas', 'better', 'understand', 'process', 'diagnos', 'patient', 'data', 'mine', 'like', 'reaffirm', 'quantifi', 'known', 'risk', 'factor', 'mani', 'diagnos', 'quantif', 'may', 'leverag', 'develop', 'computeraid', 'diagnost', 'tool', 'weigh', 'risk', 'factor', 'provid', 'decis', 'support', 'health', 'care', 'provid', 'expect', 'creation', 'databas', 'stimul', 'develop', 'computeraid', 'diagnost', 'support', 'tool', 'becom', 'integr', 'part', 'modern', 'medicin']"
22528508,2012-09-01,20,1717,47,3171,"['paradigm', 'shift', 'toxic', 'test', 'model', 'limit', 'tradit', 'toxic', 'test', 'character', 'highcost', 'anim', 'model', 'lowthroughput', 'readout', 'inconsist', 'respons', 'ethic', 'issu', 'extrapol', 'human', 'call', 'altern', 'strategi', 'chemic', 'risk', 'assess', 'new', 'strategi', 'use', 'vitro', 'human', 'cellbas', 'assay', 'design', 'identifi', 'key', 'toxic', 'pathway', 'molecular', 'mechan', 'lead', 'predict', 'vivo', 'respons', 'emerg', 'quantit', 'highthroughput', 'screen', '(qhts)', 'technolog', 'prove', 'effici', 'way', 'decompos', 'complex', 'toxicolog', 'end', 'point', 'specif', 'pathway', 'target', 'organ', 'addit', 'qht', 'made', 'signific', 'impact', 'comput', 'toxicolog', 'two', 'aspect', 'first', 'eas', 'mechan', 'action', 'identif', 'brought', 'vitro', 'assay', 'enhanc', 'simplic', 'effect', 'machin', 'learn', 'second', 'highthroughput', 'natur', 'high', 'reproduc', 'qht', 'greatli', 'improv', 'data', 'qualiti', 'increas', 'quantiti', 'train', 'dataset', 'avail', 'predict', 'model', 'construct', 'review', 'benefit', 'qht', 'routin', 'use', 'us', 'tox21', 'program', 'highlight', 'quantit', 'structureact', 'relationship', 'model', 'built', 'tradit', 'vivo', 'data', 'new', 'qht', 'data', 'compar', 'analyz', 'conjunct', 'transit', 'pilot', 'phase', 'product', 'phase', 'tox21', 'program', 'qht', 'data', 'made', 'avail', 'enrich', 'data', 'pool', 'predict', 'toxicolog', 'perceiv', 'new', 'silico', 'toxic', 'model', 'base', 'highqual', 'qht', 'data', 'achiev', 'unpreced', 'reliabl', 'robust', 'thu', 'becom', 'valuabl', 'tool', 'risk', 'assess', 'drug', 'discoveri']"
22366294,2012-10-01,51,1643,88,3141,"['evalu', 'state', 'art', 'corefer', 'resolut', 'electron', 'medic', 'record', 'background:', 'fifth', 'i2b2/va', 'workshop', 'natur', 'languag', 'process', 'challeng', 'clinic', 'record', 'conduct', 'systemat', 'review', 'resolut', 'noun', 'phrase', 'corefer', 'medic', 'record', 'informat', 'integr', 'biolog', 'bedsid', '(i2b2)', 'veteran', 'affair', '(va)', 'consortium', 'healthcar', 'informat', 'research', '(chir)', 'partner', 'organ', 'corefer', 'challeng', 'provid', 'research', 'commun', 'two', 'corpora', 'medic', 'record', 'develop', 'evalu', 'corefer', 'resolut', 'system', 'corpora', 'contain', 'variou', 'record', 'type', '(ie', 'discharg', 'summari', 'patholog', 'reports)', 'multipl', 'institut', 'methods:', 'corefer', 'challeng', 'provid', 'commun', 'two', 'annot', 'ground', 'truth', 'corpora', 'evalu', 'system', 'corefer', 'resolut', 'two', 'ways:', 'first', 'evalu', 'system', 'abil', 'identifi', 'mention', 'concept', 'link', 'togeth', 'mention', 'second', 'evalu', 'abil', 'system', 'link', 'togeth', 'ground', 'truth', 'mention', 'refer', 'entiti', 'twenti', 'team', 'repres', '29', 'organ', 'nine', 'countri', 'particip', 'corefer', 'challeng', 'results:', 'team', 'system', 'submiss', 'show', 'machinelearn', 'rulebas', 'approach', 'work', 'best', 'augment', 'extern', 'knowledg', 'sourc', 'corefer', 'clue', 'extract', 'document', 'structur', 'system', 'perform', 'better', 'corefer', 'resolut', 'provid', 'ground', 'truth', 'mention', 'overal', 'system', 'struggl', 'solv', 'corefer', 'resolut', 'case', 'requir', 'domain', 'knowledg']"
22752090,2012-10-01,31,741,66,3141,"['risk', 'estim', 'risk', 'predict', 'use', 'machinelearn', 'method', 'associ', 'genet', 'variant', 'phenotyp', 'establish', 'studi', 'goal', 'compris', 'classif', 'patient', 'accord', 'diseas', 'risk', 'estim', 'diseas', 'probabl', 'accomplish', 'differ', 'statist', 'method', 'requir', 'specif', 'machinelearn', 'approach', 'may', 'offer', 'advantag', 'classic', 'techniqu', 'paper', 'describ', 'method', 'construct', 'evalu', 'classif', 'probabl', 'estim', 'rule', 'review', 'use', 'machinelearn', 'approach', 'context', 'explain', 'machinelearn', 'algorithm', 'detail', 'final', 'illustr', 'methodolog', 'applic', 'genomewid', 'associ', 'analysi', 'rheumatoid', 'arthriti']"
22776068,2012-11-01,8,1716,62,3110,"['predict', 'risk', 'psychosi', 'onset:', 'advanc', 'prospect', 'aim:', 'conduct', 'systemat', 'review', 'method', 'perform', 'characterist', 'model', 'develop', 'predict', 'onset', 'psychosi', 'methods:', 'perform', 'comprehens', 'literatur', 'search', 'restrict', 'english', 'articl', 'identifi', 'use', 'pubm', 'medlin', 'psychinfo', 'well', 'refer', 'list', 'publish', 'studi', 'review', 'inclus', 'criteria', 'includ', 'select', 'one', 'variabl', 'predict', 'psychosi', 'schizophrenia', 'onset', 'select', 'individu', 'famili', 'risk', 'clinic', 'high', 'risk', 'eighteen', 'studi', 'met', 'criteria', 'compar', 'studi', 'base', 'subject', 'select', 'predictor', 'variabl', 'use', 'choic', 'statist', 'machin', 'learn', 'method', 'results:', 'qualiti', 'life', 'life', 'function', 'well', 'structur', 'brain', 'imag', 'emerg', 'promis', 'predictor', 'psychosi', 'onset', 'particularli', 'coupl', 'appropri', 'dimension', 'reduct', 'method', 'predict', 'model', 'algorithm', 'like', 'support', 'vector', 'machin', '(svm)', 'balanc', 'accuraci', 'rang', '100%', '78%', 'four', 'studi', 'use', 'svm', '67%', '81%', '14', 'studi', 'use', 'gener', 'linear', 'model', 'conclusions:', 'perform', 'predict', 'model', 'improv', 'qualiti', 'life', 'measur', 'life', 'function', 'measur', 'structur', 'brain', 'imag', 'data', 'well', 'use', 'method', 'like', 'svm', 'despit', 'advanc', 'overal', 'perform', 'psychosi', 'predict', 'model', 'still', 'modest', 'futur', 'perform', 'potenti', 'improv', 'includ', 'genet', 'variant', 'new', 'function', 'imag', 'data', 'addit', 'predictor', 'use', 'current']"
22842200,2012-12-01,42,2055,46,3080,"['osteoarthr', 'year', '2012', 'review:', 'biomark', 'purpose:', 'biomark', 'provid', 'use', 'diagnost', 'inform', 'detect', 'cartilag', 'degrad', 'osteoarthr', '(oa)', 'reflect', 'diseaserelev', 'biolog', 'activ', 'predict', 'cours', 'diseas', 'progress', 'also', 'serv', 'surrog', 'endpoint', 'drug', 'discoveri', 'process', 'aim', 'narr', 'review', 'focu', 'oa', 'biomarkerrel', 'paper', 'publish', 'osteoarthr', 'research', 'societi', 'intern', '(oarsi)', '2011', 'meet', 'san', 'diego', 'oarsi', '2012', 'meet', 'barcelona', 'methods:', 'pubmed/medlin', 'scivers', 'scopu', 'bibliograph', 'databas', 'search', 'use', 'keywords:', 'biomark', 'osteoarthr', 'and/or', 'biomark', 'proteom', 'results:', 'ninetyeight', 'paper', 'found', 'keyword', 'biomark', 'osteoarthr', 'fifteen', 'paper', 'found', 'keyword', 'biomark', 'proteom', 'review', 'articl', 'also', 'includ', 'relev', 'publish', 'studi', 'focus', 'extracellular', 'matrix', '(ecm)', 'molecul', 'bodi', 'fluid', 'enrich', 'deamid', 'epitop', 'cartilag', 'oligomer', 'matrix', 'protein', '(dcomp)', 'suggest', 'oa', 'diseas', 'progress', 'associ', 'posttransl', 'modif', 'may', 'show', 'specif', 'particular', 'joint', 'site', 'fibulin3', 'peptid', '(fib31', 'fib32)', 'propos', 'potenti', 'biomark', 'oa', 'along', 'follistatinlik', 'protein', '1', '(fstl1)', 'new', 'serum', 'biomark', 'capac', 'reflect', 'sever', 'joint', 'damag', 'membran', 'attack', 'complex', '(mac)', 'compon', 'complement', 'also', 'implic', 'oa', 'conclusion:', 'novel', 'oa', 'biomark', 'need', 'subclin', 'diseas', 'diagnosi', 'proteom', 'techniqu', 'begin', 'yield', 'use', 'data', 'deliv', 'new', 'oa', 'biomark', 'serum', 'urin', 'combin', 'biochem', 'marker', 'tissu', 'cell', 'imag', 'techniqu', 'bioinformat', '(ie', 'machin', 'learn', 'cluster', 'data', 'visualization)', 'may', 'facilit', 'develop', 'biomark', 'combin', 'enabl', 'earlier', 'detect', 'oa']"
22695048,2012-12-01,39,876,55,3080,"['hierarch', 'reinforc', 'learn', 'decis', 'make', 'hierarch', 'structur', 'human', 'anim', 'behavior', 'critic', 'interest', 'neurosci', 'mani', 'year', 'yet', 'understand', 'neural', 'process', 'give', 'rise', 'structur', 'remain', 'open', 'challeng', 'recent', 'research', 'new', 'perspect', 'hierarch', 'behavior', 'begun', 'take', 'shape', 'inspir', 'idea', 'machin', 'learn', 'particular', 'framework', 'hierarch', 'reinforc', 'learn', 'hierarch', 'reinforc', 'learn', 'build', 'tradit', 'reinforc', 'learn', 'mechan', 'extend', 'accommod', 'tempor', 'extend', 'behavior', 'subroutin', 'result', 'comput', 'paradigm', 'begun', 'influenc', 'theoret', 'empir', 'work', 'neurosci', 'conceptu', 'align', 'studi', 'hierarch', 'behavior', 'research', 'aspect', 'learn', 'decis', 'make', 'give', 'rise', 'thoughtprovok', 'new', 'find']"
23335577,2013-01-01,7,1087,30,3049,"['human', 'semisupervis', 'learn', 'empir', 'work', 'human', 'categor', 'studi', 'learn', 'either', 'fulli', 'supervis', 'fulli', 'unsupervis', 'scenario', 'realworld', 'learn', 'scenario', 'howev', 'semisupervised:', 'learner', 'receiv', 'great', 'deal', 'unlabel', 'inform', 'world', 'coupl', 'occasion', 'experi', 'item', 'directli', 'label', 'knowledg', 'sourc', 'larg', 'bodi', 'work', 'machin', 'learn', 'investig', 'learn', 'exploit', 'label', 'unlabel', 'data', 'provid', 'learner', 'use', 'equival', 'model', 'found', 'human', 'categor', 'machin', 'learn', 'research', 'explain', 'semisupervis', 'techniqu', 'appli', 'human', 'learn', 'seri', 'experi', 'describ', 'show', 'semisupervis', 'learn', 'model', 'prove', 'use', 'explain', 'human', 'behavior', 'expos', 'label', 'unlabel', 'data', 'discuss', 'machin', 'learn', 'model', 'familiar', 'human', 'categor', 'counterpart', 'final', 'discuss', 'challeng', 'yet', 'address', 'use', 'semisupervis', 'model', 'model', 'human', 'categor']"
23071097,2013-01-01,17,2053,150,3049,"['popular', 'comput', 'method', 'assess', 'multiprotein', 'complex', 'deriv', 'labelfre', 'affin', 'purif', 'mass', 'spectrometri', '(apms)', 'experi', 'advanc', 'sensit', 'resolut', 'mass', 'accuraci', 'throughput', 'consider', 'increas', 'number', 'protein', 'identif', 'made', 'via', 'mass', 'spectrometri', 'despit', 'advanc', 'stateoftheart', 'experiment', 'method', 'studi', 'proteinprotein', 'interact', 'yield', 'candid', 'interact', 'may', 'expect', 'biolog', 'owe', 'bias', 'limit', 'experiment', 'methodolog', 'silico', 'method', 'distinguish', 'true', 'fals', 'interact', 'develop', 'appli', 'success', 'reduc', 'number', 'fals', 'posit', 'result', 'yield', 'physic', 'interact', 'assay', 'method', 'may', 'group', 'accord', 'to:', '(1)', 'type', 'data', 'used:', 'method', 'base', 'experimentspecif', 'measur', '(eg', 'spectral', 'count', 'identif', 'scores)', 'versu', 'method', 'extract', 'knowledg', 'encod', 'extern', 'annot', '(eg', 'public', 'interact', 'function', 'categoris', 'databases);', '(2)', 'type', 'algorithm', 'applied:', 'statist', 'descript', 'estim', 'physic', 'protein', 'properti', 'versu', 'predict', 'supervis', 'machin', 'learn', 'textmin', 'algorithms;', '(3)', 'type', 'protein', 'relat', 'evaluated:', 'direct', '(binary)', 'interact', 'two', 'protein', 'cocomplex', 'versu', 'probabl', 'function', 'relationship', 'two', 'protein', '(eg', 'cooccurr', 'pathway', 'sub', 'cellular', 'compartment);', '(4)', 'initi', 'motivation:', 'elucid', 'experiment', 'data', 'evalu', 'versu', 'predict', 'novel', 'proteinprotein', 'interact', 'experiment', 'valid', 'posteriori', 'work', 'review', 'sever', 'popular', 'comput', 'score', 'method', 'softwar', 'platform', 'proteinprotein', 'interact', 'evalu', 'accord', 'methodolog', 'compar', 'strength', 'weak', 'data', 'represent', 'access', 'avail', 'score', 'method', 'platform', 'describ', 'include:', 'comppass', 'saint', 'decontamin', 'mint', 'intact', 'string', 'funcoup', 'refer', 'relat', 'work', 'provid', 'throughout', 'order', 'provid', 'concis', 'thorough', 'introduct', 'rapidli', 'grow', 'interdisciplinari', 'field', 'investig']"
