pmid,title,text,date,citations
31815397,Deep Learning in Omics Data Analysis and Precision Medicine,"The rise of omics techniques has resulted in an explosion of molecular data in modern biomedical research. Together with information from medical images and clinical data, the field of omics has driven the implementation of personalized medicine. Biomedical and omics datasets are complex and heterogeneous, and extracting meaningful knowledge from this vast amount of information is by far the most important challenge for bioinformatics and machine learning researchers. In this context, there is an increasing interest in the potential of deep learning (DL) methods to create predictive models and to identify complex patterns from these large datasets. This chapter provides an overview of the main applications of DL methods in biomedical research, with focus on omics data analysis and precision medicine applications. DL algorithms and the most popular architectures are introduced first. This is followed by a review of some of the main applications and problems approached by DL in omics data and medical image analysis. Finally, implementations for improving the diagnosis, treatment, and classification of complex diseases are discussed.",,
31816343,Supervised and unsupervised algorithms for bioinformatics and data science,"Bioinformatics refers to an ever evolving huge field of research based on millions of algorithms, designated to several data banks. Such algorithms are either supervised or unsupervised. In this article, a detailed overview of the supervised and unsupervised techniques is presented with the aid of examples. The aim of this article is to provide the readers with the basic understanding of the state of the art models, which are key ingredients of explainable machine learning in the field of bioinformatics.",2020 Mar;151:14-22.,
31815564,Perspectives on the current developments with neuromodulation for the treatment of epilepsy,"Introduction: As deep brain stimulation revolutionized the treatment of movement disorders in the late 80s, neuromodulation in the treatment of epilepsy will undoubtedly undergo transformative changes in the years to come with the exponential growth of technological development moving into mainstream practice; the appearance of companies such as Facebook, Google, Neuralink within the realm of brain-computer interfaces points to this trend.Areas covered: This perspective piece will talk about the history of brain stimulation in epilepsy, current-approved treatments, technical developments and the future of neurostimulation.Expert opinion: Further understanding of the brain alongside machine learning and innovative technology will be the future of neuromodulation for the treatment of epilepsy. All of these innovations and advances should pave the way toward overcoming the vexing underutilization of surgery in the therapeutic armamentarium against medically refractory seizures, given the implicit advantage of a neuromodulatory rather than neurodestructive approach.",2020 Feb;20(2):189-194.,1.0
31815179,Bridging the gap between military prolonged field care monitoring and exploration spaceflight: the compensatory reserve,"The concept of prolonged field care (PFC), or medical care applied beyond doctrinal planning timelines, is the top priority capability gap across the US Army. PFC is the idea that combat medics must be prepared to provide medical care to serious casualties in the field without the support of robust medical infrastructure or resources in the event of delayed medical evacuation. With limited resources, significant distances to travel before definitive care, and an inability to evacuate in a timely fashion, medical care during exploration spaceflight constitutes the ultimate example PFC. One of the main capability gaps for PFC in both military and spaceflight settings is the need for technologies for individualized monitoring of a patient's physiological status. A monitoring capability known as the compensatory reserve measurement (CRM) meets such a requirement. CRM is a small, portable, wearable technology that uses a machine learning and feature extraction-based algorithm to assess real-time changes in hundreds of specific features of arterial waveforms. Future development and advancement of CRM still faces engineering challenges to develop ruggedized wearable sensors that can measure waveforms for determining CRM from multiple sites on the body and account for less than optimal conditions (sweat, water, dirt, blood, movement, etc.). We show here the utility of a military wearable technology, CRM, which can be translated to space exploration.",2019 Dec 4;5:29.,1.0
31813895,Analysis Method of the Ion Current-Time Waveform Obtained from Low Aspect Ratio Solid-state Nanopores,"Low aspect ratio nanopores are expected to be applied to the detection of viruses and bacteria because of their high spatial resolution. Multiphysics simulations have revealed that the ion current-time waveform obtained from low aspect ratio nanopores contains information on not only the volume of viruses and bacteria, but also the structure, surface charge, and flow dynamics. Analysis using machine learning extracts information about these analytes from the ion current-time waveform. The combination of low aspect ratio nanopores, multiphysics simulation, and machine learning has made it possible to distinguish different types of viruses and bacteria with high accuracy.",2020 Feb 10;36(2):161-175.,
31812921,Recent advances on constraint-based models by integrating machine learning,"Research that meaningfully integrates constraint-based modeling with machine learning is at its infancy but holds much promise. Here, we consider where machine learning has been implemented within the constraint-based modeling reconstruction framework and highlight the need to develop approaches that can identify meaningful features from large-scale data and connect them to biological mechanisms to establish causality to connect genotype to phenotype. We motivate the construction of iterative integrative schemes where machine learning can fine-tune the input constraints in a constraint-based model or contrarily, constraint-based model simulation results are analyzed by machine learning and reconciled with experimental data. This can iteratively refine a constraint-based model until there is consistency between experimental data, machine learning results, and constraint-based model simulations.",2020 Aug;64:85-91.,3.0
31811431,Deep learning: definition and perspectives for thoracic imaging,"Relevance and penetration of machine learning in clinical practice is a recent phenomenon with multiple applications being currently under development. Deep learning-and especially convolutional neural networks (CNNs)-is a subset of machine learning, which has recently entered the field of thoracic imaging. The structure of neural networks, organized in multiple layers, allows them to address complex tasks. For several clinical situations, CNNs have demonstrated superior performance as compared with classical machine learning algorithms and in some cases achieved comparable or better performance than clinical experts. Chest radiography, a high-volume procedure, is a natural application domain because of the large amount of stored images and reports facilitating the training of deep learning algorithms. Several algorithms for automated reporting have been developed. The training of deep learning algorithm CT images is more complex due to the dimension, variability, and complexity of the 3D signal. The role of these methods is likely to increase in clinical practice as a complement of the radiologist's expertise. The objective of this review is to provide definitions for understanding the methods and their potential applications for thoracic imaging. KEY POINTS: • Deep learning outperforms other machine learning techniques for number of tasks in radiology. • Convolutional neural network is the most popular deep learning architecture in medical imaging. • Numerous deep learning algorithms are being currently developed; some of them may become part of clinical routine in the near future.",2020 Apr;30(4):2021-2030.,7.0
31810541,Emerging role of eHealth in the identification of very early inflammatory rheumatic diseases,"Digital health or eHealth technologies, notably pervasive computing, robotics, big-data, wearable devices, machine learning, and artificial intelligence (AI), have opened unprecedented opportunities as to how the diseases are diagnosed and managed with active patient engagement. Patient-related data have provided insights (real world data) into understanding the disease processes. Advanced analytics have refined these insights further to draw dynamic algorithms aiding clinicians in making more accurate diagnosis with the help of machine learning. AI is another tool, which, although is still in the evolution stage, has the potential to help identify early signs even before the clinical features are apparent. The evolving digital developments pose challenges on allowing access to health-related data for further research but, at the same time, protecting each patient's privacy. This review focuses on the recent technological advances and their applications and highlights the immense potential to enable early diagnosis of rheumatological diseases.",2019 Aug;33(4):101429.,
31809864,Functional Neuroimaging in the New Era of Big Data,"The field of functional neuroimaging has substantially advanced as a big data science in the past decade, thanks to international collaborative projects and community efforts. Here we conducted a literature review on functional neuroimaging, with focus on three general challenges in big data tasks: data collection and sharing, data infrastructure construction, and data analysis methods. The review covers a wide range of literature types including perspectives, database descriptions, methodology developments, and technical details. We show how each of the challenges was proposed and addressed, and how these solutions formed the three core foundations for the functional neuroimaging as a big data science and helped to build the current data-rich and data-driven community. Furthermore, based on our review of recent literature on the upcoming challenges and opportunities toward future scientific discoveries, we envisioned that the functional neuroimaging community needs to advance from the current foundations to better data integration infrastructure, methodology development toward improved learning capability, and multi-discipline translational research framework for this new era of big data.",2019 Aug;17(4):393-401.,2.0
31806421,The pathogenesis of systemic lupus erythematosus: Harnessing big data to understand the molecular basis of lupus,"Systemic lupus erythematosus (SLE) is a chronic, systemic autoimmune disease that causes damage to multiple organ systems. Despite decades of research and available murine models that capture some aspects of the human disease, new treatments for SLE lag behind other autoimmune diseases such as Rheumatoid Arthritis and Crohn's disease. Big data genomic assays have transformed our understanding of SLE by providing important insights into the molecular heterogeneity of this multigenic disease. Gene wide association studies have demonstrated more than 100 risk loci, supporting a model of multiple genetic hits increasing SLE risk in a non-linear fashion, and providing evidence of ancestral diversity in susceptibility loci. Epigenetic studies to determine the role of methylation, acetylation and non-coding RNAs have provided new understanding of the modulation of gene expression in SLE patients and identified new drug targets and biomarkers for SLE. Gene expression profiling has led to a greater understanding of the role of myeloid cells in the pathogenesis of SLE, confirmed roles for T and B cells in SLE, promoted clinical trials based on the prominent interferon signature found in SLE patients, and identified candidate biomarkers and cellular signatures to further drug development and drug repurposing. Gene expression studies are advancing our understanding of the underlying molecular heterogeneity in SLE and providing hope that patient stratification will expedite new therapies based on personal molecular signatures. Although big data analyses present unique interpretation challenges, both computationally and biologically, advances in machine learning applications may facilitate the ability to predict changes in SLE disease activity and optimize therapeutic strategies.",2020 Jun;110:102359.,16.0
