pmid,citations,title,date,text
27603023,302.0,Using MetaboAnalyst 3.0 for Comprehensive Metabolomics Data Analysis,2016 Sep 7;55:14.10.1-14.10.91.,"MetaboAnalyst (http://www.metaboanalyst.ca) is a comprehensive Web application for metabolomic data analysis and interpretation. MetaboAnalyst handles most of the common metabolomic data types from most kinds of metabolomics platforms (MS and NMR) for most kinds of metabolomics experiments (targeted, untargeted, quantitative). In addition to providing a variety of data processing and normalization procedures, MetaboAnalyst also supports a number of data analysis and data visualization tasks using a range of univariate, multivariate methods such as PCA (principal component analysis), PLS-DA (partial least squares discriminant analysis), heatmap clustering and machine learning methods. MetaboAnalyst also offers a variety of tools for metabolomic data interpretation including MSEA (metabolite set enrichment analysis), MetPA (metabolite pathway analysis), and biomarker selection via ROC (receiver operating characteristic) curve analysis, as well as time series and power analysis. This unit provides an overview of the main functional modules and the general workflow of the latest version of MetaboAnalyst (MetaboAnalyst 3.0), followed by eight detailed protocols. © 2016 by John Wiley & Sons, Inc."
27599991,43.0,The Next Era: Deep Learning in Pharmaceutical Research,2016 Nov;33(11):2594-603.,"Over the past decade we have witnessed the increasing sophistication of machine learning algorithms applied in daily use from internet searches, voice recognition, social network software to machine vision software in cameras, phones, robots and self-driving cars. Pharmaceutical research has also seen its fair share of machine learning developments. For example, applying such methods to mine the growing datasets that are created in drug discovery not only enables us to learn from the past but to predict a molecule's properties and behavior in future. The latest machine learning algorithm garnering significant attention is deep learning, which is an artificial neural network with multiple hidden layers. Publications over the last 3 years suggest that this algorithm may have advantages over previous machine learning methods and offer a slight but discernable edge in predictive performance. The time has come for a balanced review of this technique but also to apply machine learning methods such as deep learning across a wider array of endpoints relevant to pharmaceutical research for which the datasets are growing such as physicochemical property prediction, formulation prediction, absorption, distribution, metabolism, excretion and toxicity (ADME/Tox), target prediction and skin permeation, etc. We also show that there are many potential applications of deep learning beyond cheminformatics. It will be important to perform prospective testing (which has been carried out rarely to date) in order to convince skeptics that there will be benefits from investing in this technique."
27592382,26.0,Feature selection methods for big data bioinformatics: A survey from the search perspective,2016 Dec 1;111:21-31.,"This paper surveys main principles of feature selection and their recent applications in big data bioinformatics. Instead of the commonly used categorization into filter, wrapper, and embedded approaches to feature selection, we formulate feature selection as a combinatorial optimization or search problem and categorize feature selection methods into exhaustive search, heuristic search, and hybrid methods, where heuristic search methods may further be categorized into those with or without data-distilled feature ranking measures."
27586752,,Learnability of prosodic boundaries: Is infant-directed speech easier?,2016 Aug;140(2):1239.,"This study explores the long-standing hypothesis that the acoustic cues to prosodic boundaries in infant-directed speech (IDS) make those boundaries easier to learn than those in adult-directed speech (ADS). Three cues (pause duration, nucleus duration, and pitch change) were investigated, by means of a systematic review of the literature, statistical analyses of a corpus of Japanese, and machine learning experiments. The review of previous work revealed that the effect of register on boundary cues is less well established than previously thought, and that results often vary across studies for certain cues. Statistical analyses run on a large database of mother-child and mother-interviewer interactions showed that the duration of a pause and the duration of the syllable nucleus preceding the boundary are two cues which are enhanced in IDS, while f0 change is actually degraded in IDS. Supervised and unsupervised machine learning techniques applied to these acoustic cues revealed that IDS boundaries were consistently better classified than ADS ones, regardless of the learning method used. The role of the cues examined in this study and the importance of these findings in the more general context of early linguistic structure acquisition is discussed."
29560871,7.0,The Clinical Added Value of Imaging: A Perspective From Outcome Prediction,2016 Sep;1(5):423-432.,"Objective measures of psychiatric health would be of benefit in clinical practice. Despite considerable research in the area of psychiatric neuroimaging outcome prediction, translating putative neuroimaging markers (neuromarkers) of a disorder into clinical practice has proven challenging. We reviewed studies that used neuroimaging measures to predict treatment response and disease outcomes in major depressive disorder, substance use, autism spectrum disorder, psychosis, and dementia. The majority of studies sought to predict psychiatric outcomes rather than develop a specific biological index of future disease trajectory. Studies varied widely with respect to sample size and quantification of out-of-sample prediction model performance. Many studies were able to predict psychiatric outcomes with moderate accuracy, with neuroimaging data often augmenting the prediction compared to clinical or psychometric data alone. We make recommendations for future research with respect to methods that can increase the generalizability and reproducibility of predictions. Large sample sizes in conjunction with machine learning methods, such as feature selection, cross-validation, and random label permutation, provide significant improvement to and quantification of generalizability. Further refinement of neuroimaging protocols and analysis methods will likely facilitate the clinical applicability of predictive imaging markers in psychiatry. Such clinically relevant neuromarkers need not necessarily be grounded in the pathophysiology of the disease, but identifying these neuromarkers may suggest targets for future research into disease mechanisms. The ability of imaging prediction models to augment clinical judgments will ultimately depend on the personal and economic costs and benefits to the patient."
29560870,13.0,Using Electroencephalography for Treatment Guidance in Major Depressive Disorder,2016 Sep;1(5):411-422.,"Given the high prevalence of treatment-resistant depression and the long delays in finding effective treatments via trial and error, valid biomarkers of treatment outcome with the ability to guide treatment selection represent one of the most important unmet needs in mood disorders. A large body of research has investigated, for this purpose, biomarkers derived from electroencephalography (EEG), using resting state EEG or evoked potentials. Most studies have focused on specific EEG features (or combinations thereof), whereas more recently machine-learning approaches have been used to define the EEG features with the best predictive abilities without a priori hypotheses. While reviewing these different approaches, we have focused on the predictor characteristics and the quality of the supporting evidence."
27568202,15.0,Connectivity Changes in Parkinson's Disease,2016 Oct;16(10):91.,"Parkinson's disease (PD) is a chronic and progressive movement disorder of the central nervous system characterized by widespread alterations in several non-motor aspects such as mood, sleep, olfactory, and cognition in addition to motor dysfunctions. Advanced neuroimaging using functional connectivity reconstruction of the human brain has provided a vast knowledge on the pathophysiological mechanisms underlying this disorder, but this, however, does not cover the overall inter-/intra-individual variability of PD phenotypes. The present review is aimed at discussing to what extent the evidence provided by group-based neuroimaging analysis in this field of study (using seed-based, network-based, or graph theory approaches) may be generalized. In particular, we summarized the literature on the application of resting-state functional connectivity studies to explore different neural correlates of motor and non-motor symptoms of PD and the neural mechanisms involved in treatment effects: effects of levodopa or deep brain stimulation. The lesson learnt from one decade of studies provides consistent evidence on the role of the altered communication between the striato-frontal pathways as a marker of PD-related motor degeneration, whereas in the non-motor domain, several missing pieces of a complex puzzle are provided. However, the main target is to present a new era of intelligent neuroimaging applications, where automated multivariate analysis of functional connectivity data may be used for moving from group-level statistical results to personalized predictions in a clinical setting. Although in its relative infancy, the evidence gathered so far suggests a new era of clinical neuroimaging is starting."
27559342,1.0,Data Mining and Pattern Recognition Models for Identifying Inherited Diseases: Challenges and Implications,2016 Aug 10;7:136.,"Data mining and pattern recognition methods reveal interesting findings in genetic studies, especially on how the genetic makeup is associated with inherited diseases. Although researchers have proposed various data mining models for biomedical approaches, there remains a challenge in accurately prioritizing the single nucleotide polymorphisms (SNP) associated with the disease. In this commentary, we review the state-of-art data mining and pattern recognition models for identifying inherited diseases and deliberate the need of binary classification- and scoring-based prioritization methods in determining causal variants. While we discuss the pros and cons associated with these methods known, we argue that the gene prioritization methods and the protein interaction (PPI) methods in conjunction with the K nearest neighbors' could be used in accurately categorizing the genetic factors in disease causation."
27555308,160.0,Looking for a Signal in the Noise: Revisiting Obesity and the Microbiome,2016 Aug 23;7(4):e01018-16.,"Two recent studies have reanalyzed previously published data and found that when data sets were analyzed independently, there was limited support for the widely accepted hypothesis that changes in the microbiome are associated with obesity. This hypothesis was reconsidered by increasing the number of data sets and pooling the results across the individual data sets. The preferred reporting items for systematic reviews and meta-analyses guidelines were used to identify 10 studies for an updated and more synthetic analysis. Alpha diversity metrics and the relative risk of obesity based on those metrics were used to identify a limited number of significant associations with obesity; however, when the results of the studies were pooled by using a random-effect model, significant associations were observed among Shannon diversity, the number of observed operational taxonomic units, Shannon evenness, and obesity status. They were not observed for the ratio of Bacteroidetes and Firmicutes or their individual relative abundances. Although these tests yielded small P values, the difference between the Shannon diversity indices of nonobese and obese individuals was 2.07%. A power analysis demonstrated that only one of the studies had sufficient power to detect a 5% difference in diversity. When random forest machine learning models were trained on one data set and then tested by using the other nine data sets, the median accuracy varied between 33.01 and 64.77% (median, 56.68%). Although there was support for a relationship between the microbial communities found in human feces and obesity status, this association was relatively weak and its detection is confounded by large interpersonal variation and insufficient sample sizes.              Importance:                    As interest in the human microbiome grows, there is an increasing number of studies that can be used to test numerous hypotheses across human populations. The hypothesis that variation in the gut microbiota can explain or be used to predict obesity status has received considerable attention and is frequently mentioned as an example of the role of the microbiome in human health. Here we assessed this hypothesis by using 10 independent studies and found that although there is an association, it is smaller than can be detected by most microbiome studies. Furthermore, we directly tested the ability to predict obesity status on the basis of the composition of an individual's microbiome and found that the median classification accuracy is between 33.01 and 64.77%. This type of analysis can be used to design future studies and expanded to explore other hypotheses."
27537363,2.0,Biomechanical Studies on Patterns of Cranial Bone Fracture Using the Immature Porcine Model,2017 Feb 1;139(2).,"This review was prepared for the American Society of Mechanical Engineers Lissner Medal. It specifically discusses research performed in the Orthopaedic Biomechanics Laboratories on pediatric cranial bone mechanics and patterns of fracture in collaboration with the Forensic Anthropology Laboratory at Michigan State University. Cranial fractures are often an important element seen by forensic anthropologists during the investigation of pediatric trauma cases litigated in courts. While forensic anthropologists and forensic biomechanists are often called on to testify in these cases, there is little basic science developed in support of their testimony. The following is a review of studies conducted in the above laboratories and supported by the National Institute of Justice to begin an understanding of the mechanics and patterns of pediatric cranial bone fracture. With the lack of human pediatric specimens, the studies utilize an immature porcine model. Because much case evidence involves cranial bone fracture, the studies described below focus on determining input loading based on the resultant bone fracture pattern. The studies involve impact to the parietal bone, the most often fractured cranial bone, and begin with experiments on entrapped heads, progressing to those involving free-falling heads. The studies involve head drops onto different types and shapes of interfaces with variations of impact energy. The studies show linear fractures initiating from sutural boundaries, away from the impact site, for flat surface impacts, in contrast to depressed fractures for more focal impacts. The results have been incorporated into a ""Fracture Printing Interface (FPI),"" using machine learning and pattern recognition algorithms. The interface has been used to help interpret mechanisms of injury in pediatric death cases collected from medical examiner offices. The ultimate aim of this program of study is to develop a ""Human Fracture Printing Interface"" that can be used by forensic investigators in determining mechanisms of pediatric cranial bone fracture."
27529225,11.0,Deep Artificial Neural Networks and Neuromorphic Chips for Big Data Analysis: Pharmaceutical and Bioinformatics Applications,2016 Aug 11;17(8):1313.,"Over the past decade, Deep Artificial Neural Networks (DNNs) have become the state-of-the-art algorithms in Machine Learning (ML), speech recognition, computer vision, natural language processing and many other tasks. This was made possible by the advancement in Big Data, Deep Learning (DL) and drastically increased chip processing abilities, especially general-purpose graphical processing units (GPGPUs). All this has created a growing interest in making the most of the potential offered by DNNs in almost every field. An overview of the main architectures of DNNs, and their usefulness in Pharmacology and Bioinformatics are presented in this work. The featured applications are: drug design, virtual screening (VS), Quantitative Structure-Activity Relationship (QSAR) research, protein structure prediction and genomics (and other omics) data mining. The future need of neuromorphic hardware for DNNs is also discussed, and the two most advanced chips are reviewed: IBM TrueNorth and SpiNNaker. In addition, this review points out the importance of considering not only neurons, as DNNs and neuromorphic chips should also include glial cells, given the proven importance of astrocytes, a type of glial cell which contributes to information processing in the brain. The Deep Artificial Neuron-Astrocyte Networks (DANAN) could overcome the difficulties in architecture design, learning process and scalability of the current ML methods."
27528421,6.0,Computer-aided diagnosis of breast cancer using cytological images: A systematic review,2016 Oct;48(5):461-74.,"Cytological evaluation by microscopic image-based characterization [imprint cytology (IC) and fine needle aspiration cytology (FNAC)] plays an integral role in primary screening/detection of breast cancer. The sensitivity of IC and FNAC as a screening tool is dependent on the image quality and the pathologist's level of expertise. Computer-aided diagnosis (CAD) is used to assists the pathologists by developing various machine learning and image processing algorithms. This study reviews the various manual and computer-aided techniques used so far in breast cytology. Diagnostic applications were studied to estimate the role of CAD in breast cancer diagnosis. This paper presents an overview of image processing and pattern recognition techniques that have been used to address several issues in breast cytology-based CAD including slide preparation, staining, microscopic imaging, pre-processing, segmentation, feature extraction and diagnostic classification. This review provides better insights to readers regarding the state of the art the knowledge on CAD-based breast cancer diagnosis to date."
